  id  ,          date_added           , choice_id , question_id 
288, 2018-10-05 10:56:48.795818+03 ,10,4
289, 2018-10-05 10:56:48.816319+03 ,5,2
290, 2018-10-05 10:56:48.837035+03 ,28,8
291, 2018-10-05 10:56:48.857875+03 ,7,3
292, 2018-10-05 10:56:48.877439+03 ,21,7
293, 2018-10-05 10:56:48.897002+03 ,38,10
294, 2018-10-05 10:56:48.916412+03 ,16,6
295, 2018-10-05 10:56:48.935913+03 ,39,11
296, 2018-10-05 10:57:38.058398+03 ,14,5
297, 2018-10-05 10:57:38.062458+03 ,32,9
298, 2018-10-05 10:57:38.071127+03 ,2,1
299, 2018-10-05 10:57:38.077096+03 ,10,4
300, 2018-10-05 10:57:38.083099+03 ,5,2
301, 2018-10-05 10:57:38.089099+03 ,28,8
302, 2018-10-05 10:57:38.095157+03 ,7,3
303, 2018-10-05 10:57:38.101115+03 ,19,7
304, 2018-10-05 10:57:38.107126+03 ,38,10
305, 2018-10-05 10:57:38.113094+03 ,16,6
306, 2018-10-05 10:57:38.119105+03 ,39,11
307, 2018-10-05 10:58:35.644734+03 ,14,5
308, 2018-10-05 10:58:35.658823+03 ,31,9
309, 2018-10-05 10:58:35.666651+03 ,2,1
310, 2018-10-05 10:58:35.674497+03 ,10,4
311, 2018-10-05 10:58:35.682334+03 ,5,8
312, 2018-10-05 10:58:35.68884+03  ,28,2
313, 2018-10-05 10:58:35.693488+03 ,4,3
314, 2018-10-05 10:58:35.699452+03 ,7,7
315, 2018-10-05 10:58:35.705419+03 ,19,10
316, 2018-10-05 10:58:35.711452+03 ,38,6
317, 2018-10-05 10:58:35.71748+03  ,16,11
318, 2018-10-05 11:01:12.344452+03 ,14,5
319, 2018-10-05 11:01:12.372417+03 ,31,9
320, 2018-10-05 11:01:12.393034+03 ,36,1
321, 2018-10-05 11:01:12.413473+03 ,2,4
322, 2018-10-05 11:01:12.43398+03  ,10,2
323, 2018-10-05 11:01:12.45446+03  ,4,8
324, 2018-10-05 11:01:12.475178+03 ,5,3
325, 2018-10-05 11:01:12.494543+03 ,28,7
326, 2018-10-05 11:01:12.514023+03 ,7,10
327, 2018-10-05 11:01:12.533433+03 ,19,6
328, 2018-10-05 11:01:12.552854+03 ,38,11
329, 2018-10-05 11:33:13.854847+03 ,14,5
330, 2018-10-05 11:33:13.859471+03 ,33,9
331, 2018-10-05 11:33:13.871004+03 ,1,1
332, 2018-10-05 11:33:13.876919+03 ,10,4
333, 2018-10-05 11:33:13.882916+03 ,5,2
334, 2018-10-05 11:33:13.888891+03 ,28,8
335, 2018-10-05 11:33:13.894901+03 ,7,3
336, 2018-10-05 11:33:13.901243+03 ,21,7
337, 2018-10-05 11:33:13.906867+03 ,37,10
338, 2018-10-05 11:33:13.912835+03 ,16,6
339, 2018-10-05 11:33:13.918843+03 ,39,11
340, 2018-10-05 11:40:44.994413+03 ,14,5
341, 2018-10-05 11:40:44.99873+03  ,33,9
342, 2018-10-05 11:40:45.008033+03 ,1,1
343, 2018-10-05 11:40:45.01398+03  ,10,4
344, 2018-10-05 11:40:45.019994+03 ,5,2
345, 2018-10-05 11:40:45.025955+03 ,28,8
346, 2018-10-05 11:40:45.031972+03 ,7,3
347, 2018-10-05 11:40:45.037935+03 ,19,7
348, 2018-10-05 11:40:45.04395+03  ,38,10
349, 2018-10-05 11:40:45.049909+03 ,16,6
350, 2018-10-05 11:40:45.055921+03 ,39,11
351, 2018-10-06 11:13:37.355442+03 ,13,5
352, 2018-10-06 11:13:37.391528+03 ,1,1
353, 2018-10-06 11:13:37.412093+03 ,4,2
354, 2018-10-06 11:13:37.432457+03 ,26,8
355, 2018-10-06 11:13:37.452861+03 ,7,7
356, 2018-10-06 11:13:37.473262+03 ,19,10
357, 2018-10-06 11:13:37.493955+03 ,38,6
358, 2018-10-06 11:13:37.513384+03 ,16,11
359, 2018-10-06 11:13:37.532813+03 ,40,9
360, 2018-10-06 11:13:37.552205+03 ,35,4
361, 2018-10-06 11:17:49.968574+03 ,14,9
362, 2018-10-06 11:17:49.997354+03 ,36,1
363, 2018-10-06 11:17:50.018316+03 ,1,4
364, 2018-10-06 11:17:50.039076+03 ,10,2
365, 2018-10-06 11:17:50.059628+03 ,5,8
366, 2018-10-06 11:17:50.080187+03 ,26,3
367, 2018-10-06 11:17:50.100949+03 ,7,10
368, 2018-10-06 11:17:50.120418+03 ,38,11
369, 2018-10-06 11:17:50.139908+03 ,16,5
370, 2018-10-06 11:34:18.643323+03 ,13,5
371, 2018-10-06 11:34:18.675671+03 ,32,9
372, 2018-10-06 11:34:18.696266+03 ,1,1
373, 2018-10-06 11:34:18.716716+03 ,11,4
374, 2018-10-06 11:34:18.737209+03 ,5,2
375, 2018-10-06 11:34:18.757906+03 ,26,8
376, 2018-10-06 11:34:18.778624+03 ,7,3
377, 2018-10-06 11:34:18.7981+03   ,38,10
378, 2018-10-06 11:34:18.817526+03 ,40,11
379, 2018-10-06 11:37:18.512647+03 ,13,5
380, 2018-10-06 11:37:18.517059+03 ,34,9
381, 2018-10-06 11:37:18.525406+03 ,1,1
382, 2018-10-06 11:37:18.531383+03 ,12,4
383, 2018-10-06 11:37:18.537365+03 ,5,2
384, 2018-10-06 11:37:18.543387+03 ,26,8
385, 2018-10-06 11:37:18.549426+03 ,7,3
386, 2018-10-06 11:37:18.555415+03 ,38,10
387, 2018-10-06 11:37:18.561399+03 ,16,6
388, 2018-10-06 11:37:18.56739+03  ,40,11
389, 2018-10-06 11:38:33.592679+03 ,13,5
390, 2018-10-06 11:38:33.606588+03 ,32,9
391, 2018-10-06 11:38:33.615238+03 ,1,1
392, 2018-10-06 11:38:33.623201+03 ,10,4
393, 2018-10-06 11:38:33.631106+03 ,5,2
394, 2018-10-06 11:38:33.639199+03 ,26,8
395, 2018-10-06 11:38:33.647313+03 ,20,7
396, 2018-10-06 11:38:33.654181+03 ,21,10
397, 2018-10-06 11:38:33.675563+03 ,20,6
398, 2018-10-06 11:38:33.695667+03 ,38,11
399, 2018-10-06 11:40:47.070861+03 ,13,5
400, 2018-10-06 11:40:47.075084+03 ,33,9
401, 2018-10-06 11:40:47.083896+03 ,2,1
402, 2018-10-06 11:40:47.089861+03 ,10,4
403, 2018-10-06 11:40:47.095859+03 ,4,2
404, 2018-10-06 11:40:47.101832+03 ,26,8
405, 2018-10-06 11:40:47.107834+03 ,7,3
406, 2018-10-06 11:40:47.113811+03 ,19,7
407, 2018-10-06 11:40:47.119809+03 ,38,10
408, 2018-10-06 11:40:47.12582+03  ,16,6
409, 2018-10-06 11:40:47.131893+03 ,40,11
410, 2018-10-06 11:42:27.016636+03 ,13,5
411, 2018-10-06 11:42:27.0462+03   ,35,9
412, 2018-10-06 11:42:27.067102+03 ,1,1
413, 2018-10-06 11:42:27.087669+03 ,11,4
414, 2018-10-06 11:42:27.108161+03 ,4,2
415, 2018-10-06 11:42:27.128661+03 ,26,8
416, 2018-10-06 11:42:27.149349+03 ,7,3
417, 2018-10-06 11:42:27.168882+03 ,20,7
418, 2018-10-06 11:42:27.191242+03 ,38,10
419, 2018-10-06 11:42:27.210689+03 ,16,6
420, 2018-10-06 11:42:27.230127+03 ,40,11
421, 2018-10-06 11:43:41.440701+03 ,14,5
422, 2018-10-06 11:43:41.47059+03  ,32,9
423, 2018-10-06 11:43:41.491121+03 ,1,1
424, 2018-10-06 11:43:41.494791+03 ,11,4
425, 2018-10-06 11:43:41.50075+03  ,4,2
426, 2018-10-06 11:43:41.506727+03 ,26,8
427, 2018-10-06 11:43:41.512862+03 ,7,3
428, 2018-10-06 11:43:41.51914+03  ,19,7
429, 2018-10-06 11:43:41.524702+03 ,38,10
430, 2018-10-06 11:43:41.530664+03 ,16,6
431, 2018-10-06 11:43:41.536649+03 ,40,11
432, 2018-10-06 11:45:07.177638+03 ,13,5
433, 2018-10-06 11:45:07.19198+03  ,32,9
434, 2018-10-06 11:45:07.200231+03 ,2,1
435, 2018-10-06 11:45:07.208151+03 ,10,4
436, 2018-10-06 11:45:07.216101+03 ,5,2
437, 2018-10-06 11:45:07.223997+03 ,26,8
438, 2018-10-06 11:45:07.232093+03 ,7,3
439, 2018-10-06 11:45:07.239034+03 ,19,7
440, 2018-10-06 11:45:07.245789+03 ,38,10
441, 2018-10-06 11:45:07.252687+03 ,16,6
442, 2018-10-06 11:45:07.259709+03 ,40,11
443, 2018-10-06 12:00:40.346423+03 ,13,5
444, 2018-10-06 12:00:40.375146+03 ,14,9
445, 2018-10-06 12:00:40.395898+03 ,33,1
446, 2018-10-06 12:00:40.416364+03 ,1,4
447, 2018-10-06 12:00:40.436834+03 ,12,2
448, 2018-10-06 12:00:40.457339+03 ,4,8
449, 2018-10-06 12:00:40.477997+03 ,26,3
450, 2018-10-06 12:00:40.497449+03 ,7,10
451, 2018-10-06 12:00:40.516916+03 ,38,11
452, 2018-10-06 12:30:02.412997+03 ,15,9
453, 2018-10-06 12:30:02.428222+03 ,35,1
454, 2018-10-06 12:30:02.438554+03 ,1,5
455, 2018-10-06 12:30:02.447158+03 ,13,4
456, 2018-10-06 12:30:02.455065+03 ,12,2
457, 2018-10-06 12:30:02.462885+03 ,11,8
458, 2018-10-06 12:30:02.47092+03  ,5,7
459, 2018-10-06 12:30:02.477728+03 ,26,10
460, 2018-10-06 12:30:02.48462+03  ,20,6
461, 2018-10-06 12:30:02.491479+03 ,38,11
462, 2018-10-06 12:31:37.553645+03 ,14,5
463, 2018-10-06 12:31:37.557901+03 ,33,9
464, 2018-10-06 12:31:37.563866+03 ,1,1
465, 2018-10-06 12:31:37.569821+03 ,12,4
466, 2018-10-06 12:31:37.575821+03 ,4,2
467, 2018-10-06 12:31:37.581808+03 ,26,8
468, 2018-10-06 12:31:37.587798+03 ,7,3
469, 2018-10-06 12:31:37.593774+03 ,38,10
470, 2018-10-06 12:31:37.599762+03 ,16,6
471, 2018-10-06 12:31:37.605741+03 ,40,11
472, 2018-10-06 12:36:06.362428+03 ,13,5
473, 2018-10-06 12:36:06.36668+03  ,32,9
474, 2018-10-06 12:36:06.372472+03 ,1,1
475, 2018-10-06 12:36:06.378488+03 ,12,4
476, 2018-10-06 12:36:06.384493+03 ,11,2
477, 2018-10-06 12:36:06.390446+03 ,5,8
478, 2018-10-06 12:36:06.396431+03 ,26,3
479, 2018-10-06 12:36:06.40242+03  ,7,10
480, 2018-10-06 12:36:06.408427+03 ,38,6
481, 2018-10-06 12:36:06.414393+03 ,16,11
482, 2018-10-06 12:38:46.044482+03 ,14,5
483, 2018-10-06 12:38:46.048949+03 ,32,9
484, 2018-10-06 12:38:46.057608+03 ,1,1
485, 2018-10-06 12:38:46.063661+03 ,10,4
486, 2018-10-06 12:38:46.070452+03 ,5,2
